sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
FIXED,150,5,RAFT,25,2.30
FIXED,150,5,SAILBOAT,5,2.20
FIXED,150,5,SAILBOAT,8,3.10
FIXED,150,5,SAILBOAT,12,4.30
FIXED,150,5,SAILBOAT,15,4.60
FIXED,150,5,SAILBOAT,21,4.90
FIXED,150,5,SAILBOAT,25,5.10
FIXED,150,5,SHIP,27,5.40
FIXED,150,5,SHIP,46,5.40
FIXED,150,5,SHIP,47,5.70
FIXED,150,5,SHIP,91,5.70
FIXED,150,5,SHIP,92,5.80
FIXED,150,10,PIW,1,0.10
FIXED,150,10,POWERBOAT,5,1.50
FIXED,150,10,POWERBOAT,6,3.60
FIXED,150,10,POWERBOAT,10,5.30
FIXED,150,10,POWERBOAT,16,8.10
FIXED,150,10,POWERBOAT,24,9.80
FIXED,150,10,RAFT,1,1.20
FIXED,150,10,RAFT,4,1.80
FIXED,150,10,RAFT,6,2.20
FIXED,150,10,RAFT,8,2.30
FIXED,150,10,RAFT,10,2.50
FIXED,150,10,RAFT,15,2.70
FIXED,150,10,RAFT,20,3.20
FIXED,150,10,RAFT,25,3.40
FIXED,150,10,SAILBOAT,5,3.20
FIXED,150,10,SAILBOAT,8,4.90
FIXED,150,10,SAILBOAT,12,7.60
FIXED,150,10,SAILBOAT,15,8.40
FIXED,150,10,SAILBOAT,21,9.30
FIXED,150,10,SAILBOAT,25,9.90
FIXED,150,10,SHIP,27,11.10
FIXED,150,10,SHIP,46,11.10
FIXED,150,10,SHIP,47,12.50
FIXED,150,10,SHIP,91,12.50
FIXED,150,10,SHIP,92,13.20
FIXED,150,15,PIW,1,0.10
FIXED,150,15,POWERBOAT,5,1.70
FIXED,150,15,POWERBOAT,6,4.30
FIXED,150,15,POWERBOAT,10,6.70
FIXED,150,15,POWERBOAT,16,10.90
FIXED,150,15,POWERBOAT,24,13.50
FIXED,150,15,RAFT,1,1.40
FIXED,150,15,RAFT,4,2.00
FIXED,150,15,RAFT,6,2.50
FIXED,150,15,RAFT,8,2.70
FIXED,150,15,RAFT,10,2.90
FIXED,150,15,RAFT,15,3.30
FIXED,150,15,RAFT,20,3.80
FIXED,150,15,RAFT,25,4.10
FIXED,150,15,SAILBOAT,5,3.90
FIXED,150,15,SAILBOAT,8,6.10
FIXED,150,15,SAILBOAT,12,10.00
FIXED,150,15,SAILBOAT,15,11.30
FIXED,150,15,SAILBOAT,21,12.70
FIXED,150,15,SAILBOAT,25,13.70
FIXED,150,15,SHIP,27,15.90
FIXED,150,15,SHIP,46,15.90
FIXED,150,15,SHIP,47,18.90
FIXED,150,15,SHIP,91,18.90
